algorithm_name,steps_forward,steps_backward,total_steps,score,total_time,normal_total_time,external_time,grid_size
JDFSSolver,8.0,0.0,8.0,3.8125,1.1709006503224374e-05,1.1709006503224374e-05,0.0,"4,4"
JMCMFSolver,8.0,0.0,8.0,3.8125,0.00018637698609381915,0.00018637698609381915,0.0,"4,4"
JGuidedJDFSSolver_JDFSSolver,8.0,0.0,8.0,3.9375,0.001847021004650742,2.6245007757097482e-05,0.0018207759968936444,"4,4"
JGuidedJDFSSolver_JMCMFSolver,8.0,0.0,8.0,3.9375,0.0018450609967112543,2.5681003462523224e-05,0.001819379993248731,"4,4"
JDFSSolver,12.0,0.0,12.0,2.5,1.889101229608059e-05,1.889101229608059e-05,0.0,"4,6"
JMCMFSolver,12.0,0.0,12.0,2.4166666666666665,0.00038732500514015555,0.00038732500514015555,0.0,"4,6"
JGuidedJDFSSolver_JDFSSolver,12.0,0.0,12.0,3.666666666666666,0.0030043001007288694,4.1837063618004324e-05,0.002962463037110865,"4,6"
JGuidedJDFSSolver_JMCMFSolver,12.0,0.0,12.0,4.166666666666667,0.0029833309771493074,4.1435032617300746e-05,0.002941895944532007,"4,6"
JDFSSolver,16.0,0.0,16.0,2.53125,2.6116999797523023e-05,2.6116999797523023e-05,0.0,"4,8"
JMCMFSolver,16.0,0.0,16.0,2.09375,0.0006358549930155277,0.0006358549930155277,0.0,"4,8"
JGuidedJDFSSolver_JDFSSolver,16.0,0.0,16.0,3.09375,0.003935817067977041,5.9401043690741064e-05,0.0038764160242863,"4,8"
JGuidedJDFSSolver_JMCMFSolver,16.0,0.0,16.0,3.59375,0.003903601006604731,5.6579033844172956e-05,0.0038470219727605582,"4,8"
JDFSSolver,20.0,0.0,20.0,2.4,3.668799996376038e-05,3.668799996376038e-05,0.0,"4,10"
JMCMFSolver,20.0,0.0,20.0,2.2,0.0009873080090619624,0.0009873080090619624,0.0,"4,10"
JGuidedJDFSSolver_JDFSSolver,20.0,0.0,20.0,3.5,0.005450709976721555,7.876200368627905e-05,0.005371947973035276,"4,10"
JGuidedJDFSSolver_JMCMFSolver,20.0,0.0,20.0,3.7,0.005424268012866378,7.792604155838489e-05,0.005346341971307993,"4,10"
JDFSSolver,24.0,0.0,24.0,3.020833333333334,5.742100533097982e-05,5.742100533097982e-05,0.0,"4,12"
JMCMFSolver,24.0,0.0,24.0,2.645833333333334,0.001409408012405038,0.001409408012405038,0.0,"4,12"
JGuidedJDFSSolver_JDFSSolver,24.0,0.0,24.0,3.1875,0.0062957780435681345,9.569299407303334e-05,0.006200085049495101,"4,12"
JGuidedJDFSSolver_JMCMFSolver,24.0,0.0,24.0,3.854166666666666,0.006267703000921756,9.494299534708261e-05,0.006172760005574674,"4,12"
JDFSSolver,28.0,0.0,28.0,2.232142857142857,5.295300157740712e-05,5.295300157740712e-05,0.0,"4,14"
JMCMFSolver,28.0,0.0,28.0,1.8035714285714286,0.0018614290188997983,0.0018614290188997983,0.0,"4,14"
JGuidedJDFSSolver_JDFSSolver,28.0,0.0,28.0,3.232142857142857,0.008540845022071154,0.00011423000367358327,0.00842661501839757,"4,14"
JGuidedJDFSSolver_JMCMFSolver,28.0,0.0,28.0,2.8392857142857144,0.007432224992662668,0.00011115597793832421,0.007321069014724344,"4,14"
JDFSSolver,32.0,0.0,32.0,2.6875,8.358901366591454e-05,8.358901366591454e-05,0.0,"4,16"
JMCMFSolver,32.0,0.0,32.0,2.375,0.0022288690134882926,0.0022288690134882926,0.0,"4,16"
JGuidedJDFSSolver_JDFSSolver,32.0,0.0,32.0,3.15625,0.008477964997291566,0.00012962795794010162,0.008348337039351464,"4,16"
JGuidedJDFSSolver_JMCMFSolver,32.0,0.0,32.0,2.90625,0.008305232021957635,0.00012609797762706875,0.008179134044330566,"4,16"
JDFSSolver,12.0,0.0,12.0,2.791666666666666,1.9502013456076382e-05,1.9502013456076382e-05,0.0,"6,4"
JMCMFSolver,12.0,0.0,12.0,1.875,0.0003766749892383814,0.0003766749892383814,0.0,"6,4"
JGuidedJDFSSolver_JDFSSolver,12.0,0.0,12.0,3.125,0.00290884999325499,4.047496011480689e-05,0.0028683750331401827,"6,4"
JGuidedJDFSSolver_JMCMFSolver,12.0,0.0,12.0,3.125,0.0028892979933880267,4.0440999437123535e-05,0.0028488569939509032,"6,4"
JDFSSolver,18.0,0.0,18.0,2.5555555555555554,3.192900912836194e-05,3.192900912836194e-05,0.0,"6,6"
JMCMFSolver,18.0,0.0,18.0,1.833333333333333,0.0008850879967212677,0.0008850879967212677,0.0,"6,6"
JGuidedJDFSSolver_JDFSSolver,18.0,0.0,18.0,3.0555555555555554,0.004846153967082501,6.954700453206896e-05,0.004776606962550432,"6,6"
JGuidedJDFSSolver_JMCMFSolver,18.0,0.0,18.0,3.0555555555555554,0.004871106026694179,6.921301130205393e-05,0.004801893015392125,"6,6"
JDFSSolver,34.0,10.0,44.0,2.625,8.059398969635367e-05,8.059398969635367e-05,0.0,"6,8"
JMCMFSolver,24.0,0.0,24.0,2.583333333333334,0.0013231590064242483,0.0013231590064242483,0.0,"6,8"
JGuidedJDFSSolver_JDFSSolver,24.0,0.0,24.0,3.375,0.005964466042350978,9.033306268975138e-05,0.005874132979661226,"6,8"
JGuidedJDFSSolver_JMCMFSolver,24.0,0.0,24.0,3.375,0.005913613005541265,8.854205021634698e-05,0.005825070955324918,"6,8"
JDFSSolver,30.0,0.0,30.0,2.8,6.006901152431965e-05,6.006901152431965e-05,0.0,"6,10"
JMCMFSolver,30.0,0.0,30.0,2.1666666666666665,0.002282948000356555,0.002282948000356555,0.0,"6,10"
JGuidedJDFSSolver_JDFSSolver,30.0,0.0,30.0,3.466666666666667,0.00818449986865744,0.00012340896995738148,0.008061090898700059,"6,10"
JGuidedJDFSSolver_JMCMFSolver,30.0,0.0,30.0,3.4,0.008125542097259313,0.00012157801538705825,0.008003964081872254,"6,10"
JDFSSolver,36.0,0.0,36.0,3.416666666666666,0.00010047001764178276,0.00010047001764178276,0.0,"6,12"
JMCMFSolver,36.0,0.0,36.0,2.6944444444444446,0.00310471799923107,0.00310471799923107,0.0,"6,12"
JGuidedJDFSSolver_JDFSSolver,36.0,0.0,36.0,4.027777777777778,0.010155548960901798,0.00015686585335060953,0.009998683107551188,"6,12"
JGuidedJDFSSolver_JMCMFSolver,36.0,0.0,36.0,3.9444444444444446,0.01019366189604625,0.0001553849340416491,0.010038276962004601,"6,12"
JDFSSolver,42.0,0.0,42.0,2.690476190476191,9.511200245469809e-05,9.511200245469809e-05,0.0,"6,14"
JMCMFSolver,42.0,0.0,42.0,2.1666666666666665,0.004020201012026519,0.004020201012026519,0.0,"6,14"
JGuidedJDFSSolver_JDFSSolver,42.0,0.0,42.0,3.2142857142857144,0.01162049600854516,0.00018488409463316202,0.011435611913911998,"6,14"
JGuidedJDFSSolver_JMCMFSolver,42.0,0.0,42.0,3.2857142857142856,0.011520002179313451,0.0001808491162955761,0.011339153063017875,"6,14"
JDFSSolver,48.0,0.0,48.0,2.916666666666666,0.00011873399140313267,0.00011873399140313267,0.0,"6,16"
JMCMFSolver,48.0,0.0,48.0,2.5208333333333335,0.005231862999498844,0.005231862999498844,0.0,"6,16"
JGuidedJDFSSolver_JDFSSolver,48.0,0.0,48.0,3.333333333333334,0.013703130942303687,0.00022274298360571264,0.013480387958697975,"6,16"
JGuidedJDFSSolver_JMCMFSolver,48.0,0.0,48.0,3.541666666666666,0.013543304076883941,0.00021886409260332584,0.013324439984280616,"6,16"
JDFSSolver,16.0,0.0,16.0,2.59375,2.4134987033903598e-05,2.4134987033903598e-05,0.0,"8,4"
JMCMFSolver,16.0,0.0,16.0,2.21875,0.0006184840039350092,0.0006184840039350092,0.0,"8,4"
JGuidedJDFSSolver_JDFSSolver,16.0,0.0,16.0,3.59375,0.003920577908866107,5.687898490577936e-05,0.003863698923960328,"8,4"
